Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
0,2,1,0.092,1,0,0.2876,0,0,1
0,3,1,-0.0079,0,0,-0.6908,0,0,1
0,2,1,0.4418,1,0,0.973,1,0,0
1,2,0,0.4418,0,0,-0.3168,0,0,1
1,3,1,-1.6071,1,0,-0.4497,1,0,0
0,3,1,-0.0079,0,0,-0.7135,0,1,0
1,3,1,-0.4077,0,0,-0.7594,0,0,1
1,3,0,-0.0079,1,1,0.3903,1,0,0
0,3,1,1.6911,0,0,-0.772,0,0,1
0,3,1,0.4918,0,0,-0.7025,1,0,0
0,3,1,-0.8075,0,0,-0.7664,0,0,1
0,3,0,1.891,1,0,-0.2035,0,0,1
1,2,0,0.092,1,0,0.6654,0,0,1
0,2,1,-0.3078,0,0,-0.3168,0,0,1
0,2,1,-0.5077,0,0,-0.1622,1,0,0
1,1,0,-0.9074,0,2,0.6868,0,0,1
0,1,1,0.8916,1,0,2.713,0,0,1
0,3,1,-1.2073,0,0,-0.6027,0,0,1
0,3,0,-0.0079,0,2,-0.1471,1,0,0
1,3,0,-0.6076,0,0,-0.7135,0,0,1
1,3,0,-0.4077,1,0,-0.1015,0,0,1
0,3,1,-0.9074,0,0,-0.789,0,1,0
0,2,1,-1.0074,0,0,-0.4302,0,0,1
0,2,1,-0.9074,1,1,1.4776,0,0,1
1,3,1,-0.1079,0,0,-0.71,0,0,1
0,3,0,-1.9069,2,2,1.2982,0,0,1
0,2,1,0.8416,0,2,0.6654,0,0,1
0,2,1,1.3913,0,0,-0.3168,0,0,1
0,2,1,2.2908,0,0,-0.3527,0,0,1
0,3,1,1.2414,0,2,-0.2035,0,0,1
0,3,1,-0.0079,0,0,-0.7465,0,0,1
0,1,1,2.2908,0,1,3.3385,1,0,0
1,3,0,-1.2073,0,0,-0.7147,0,1,0
0,3,1,0.192,0,0,-0.6908,0,0,1
0,3,1,-0.0079,0,0,-0.6445,0,0,1
0,3,1,1.5912,0,1,-0.0826,0,0,1
1,2,0,1.1914,0,0,-0.109,0,0,1
0,3,1,-0.2078,0,0,-0.7116,0,0,1
0,3,1,-1.1073,0,0,-0.6445,0,0,1
1,3,1,-1.9069,0,2,0.2517,0,0,1
1,1,0,-0.0079,0,1,2.8565,0,0,1
0,3,0,1.6911,1,4,0.809,0,0,1
0,1,1,-0.0079,0,0,0.6597,0,0,1
0,3,1,-0.0079,0,0,2.9695,0,0,1
0,3,1,-2.4066,4,1,0.9015,0,1,0
0,3,1,-0.7076,0,0,-0.7003,0,0,1
0,3,1,-1.0074,1,1,-0.7056,0,0,1
0,3,1,-0.0079,3,1,0.6251,0,0,1
0,1,0,2.1909,0,0,0.8703,1,0,0
0,2,1,0.192,0,0,-0.3168,0,0,1
0,3,1,0.7916,0,0,-1.299,0,0,1
0,2,1,-0.0079,0,0,-0.1619,1,0,0
0,3,1,-1.9069,4,2,1.0725,0,0,1
1,3,0,-2.4066,0,2,0.3651,0,0,1
0,1,1,-0.0079,0,0,2.4787,0,0,1
1,3,0,-0.0079,1,0,-0.1279,0,1,0
1,1,1,1.6911,0,0,0.707,0,0,1
0,3,1,1.1914,1,1,-0.1279,0,1,0
0,3,1,0.7916,0,0,-0.7025,0,0,1
1,2,0,0.3918,0,0,-0.3168,0,0,1
0,2,1,-0.9074,0,0,-0.3168,0,0,1
1,3,0,-0.9074,1,0,-0.7056,0,0,1
1,2,1,-2.5066,1,1,0.6654,0,0,1
1,1,0,1.5912,0,0,0.7954,1,0,0
0,3,1,-0.0079,0,0,-0.7135,0,1,0
0,3,1,1.3913,0,1,-0.6641,0,0,1
1,3,0,-0.0079,0,0,-0.7135,0,1,0
0,2,0,-0.4077,0,0,-0.3168,0,0,1
0,3,1,-0.0079,0,0,-0.5813,0,0,1
0,3,1,0.5917,0,0,-0.8082,0,0,1
0,3,1,1.7411,0,0,-0.7532,1,0,0
1,3,1,-1.0074,0,0,-0.6908,0,0,1
0,3,1,0.3918,1,0,-0.1015,0,0,1
1,3,1,-0.2078,0,0,0.1205,1,0,0
1,3,0,-1.2073,0,0,-0.7135,0,1,0
1,1,1,1.1914,0,0,1.0432,1,0,0
0,3,1,-0.4077,0,0,-0.7664,0,0,1
1,2,0,0.6917,0,0,0.2876,0,0,1
0,3,1,-0.6076,0,0,-0.7513,0,0,1
0,2,1,0.192,0,0,-0.3168,0,0,1
0,3,1,-0.0079,1,0,-0.7135,0,1,0
1,3,0,-0.1079,0,0,-0.7003,0,0,1
0,2,1,1.3913,1,0,0.741,0,0,1
0,2,1,0.192,0,0,-0.5057,0,0,1
1,3,1,-1.2073,0,0,-0.6908,0,0,1
0,2,1,-0.1079,0,0,-0.3168,0,0,1
0,3,1,2.2908,0,0,-0.6908,0,0,1
0,3,1,-0.0079,0,0,-0.7025,0,0,1
0,3,1,-0.6076,0,0,-0.5926,0,0,1
1,2,1,-0.9074,0,0,-0.5057,0,0,1
0,3,1,-0.7575,0,0,-0.7513,0,0,1
0,2,1,-1.0074,0,0,-0.3168,0,0,1
0,3,0,-0.0079,3,1,0.6251,0,0,1
0,3,1,0.092,0,0,-0.7116,0,0,1
1,3,0,-2.3067,4,2,1.0725,0,0,1
0,2,1,-0.4077,0,0,-0.5057,0,0,1
0,3,0,-0.0079,0,0,-0.7286,0,0,1
0,2,1,1.5912,1,0,0.6654,0,0,1
1,2,0,-2.0069,0,2,0.6843,0,0,1
0,2,1,-0.9074,0,0,-0.5057,0,0,1
0,2,1,0.4918,0,0,-0.3716,0,0,1
0,3,0,-0.0079,1,0,-0.2069,1,0,0
1,3,0,-0.0079,1,0,-0.1279,0,1,0
0,2,1,0.092,0,0,-0.5057,0,0,1
0,3,1,-0.6076,0,0,-0.7607,0,0,1
0,3,1,0.192,0,0,-0.7532,1,0,0
0,3,0,-0.3078,0,0,-0.7116,0,0,1
1,2,0,-0.4077,0,2,-0.2035,0,0,1
1,1,1,0.8916,1,1,2.6717,0,0,1
0,2,1,2.5907,1,0,0.6654,0,0,1
0,3,1,-0.0079,0,0,-0.7513,0,0,1
0,3,0,0.092,1,1,-0.5085,0,0,1
0,3,1,0.192,1,0,-0.0826,0,0,1
0,3,0,1.2914,0,2,0.2281,0,0,1
1,3,0,0.092,0,2,-0.1471,1,0,0
1,2,0,2.1909,0,1,0.6654,0,0,1
0,3,1,-0.0079,0,0,-0.7135,0,1,0
1,3,1,-2.5066,4,2,1.0725,0,0,1
0,1,1,1.1914,0,0,-1.299,0,0,1
0,3,0,-0.0079,0,0,-0.7135,0,1,0
0,2,1,0.7916,0,0,-0.5057,0,0,1
0,3,1,-1.2073,4,1,1.6996,0,0,1
1,3,1,-0.3078,1,0,-0.7116,0,0,1
0,1,1,-0.0079,0,0,1.0432,0,0,1
1,3,1,-0.3078,0,0,-1.299,0,0,1
1,2,0,1.2914,0,1,0.1743,0,0,1
0,1,1,0.8916,0,1,0.945,1,0,0
1,3,0,-0.0079,0,0,-0.7135,0,1,0
0,3,0,1.6911,0,0,-0.7135,0,0,1
0,2,1,-0.0079,0,0,-1.299,0,0,1
0,3,1,-2.1068,4,1,0.9015,0,1,0
1,3,0,0.6917,1,1,0.231,0,0,1
0,3,1,-0.0079,0,0,-0.7056,0,0,1
0,3,1,-1.2073,0,0,-0.5813,0,0,1
1,3,1,-0.9074,0,0,-0.6908,0,0,1
0,1,1,-0.0079,0,0,0.6654,0,0,1
0,3,1,0.4918,0,0,-0.6445,1,0,0
1,3,1,0.192,0,0,-0.5813,0,0,1
0,3,1,-0.6076,0,0,-0.7025,0,0,1
1,2,1,1.3913,0,0,-0.3168,0,0,1
1,3,0,-0.6076,0,0,-0.7135,0,1,0
0,2,1,0.7916,0,0,-0.3263,1,0,0
0,3,0,-0.4077,0,0,-0.6304,0,0,1
0,3,1,-0.4077,0,0,-0.7025,0,0,1
0,1,1,-0.0079,0,0,0.7954,1,0,0
0,3,1,-0.4577,0,0,-0.7528,1,0,0
1,1,1,-0.0079,0,0,1.0054,0,0,1
1,3,0,-0.0079,0,0,-0.7135,0,1,0
1,3,1,-0.0079,2,0,0.4576,0,1,0
0,3,1,-0.9074,0,0,-1.299,0,0,1
1,2,0,-0.0079,0,0,-0.3659,0,1,0
0,3,1,-0.0079,0,0,-0.6908,0,0,1
0,2,1,0.192,1,0,0.5143,1,0,0
1,1,0,0.192,0,0,3.0023,1,0,0
0,2,0,-0.2078,1,1,0.6654,0,0,1
0,3,1,-0.0079,0,0,-0.7025,0,0,1
0,2,1,1.4913,1,1,0.6843,0,0,1
1,3,0,-0.2078,0,0,-0.7056,0,0,1
1,2,0,-0.4077,1,0,0.6654,0,0,1
0,2,1,2.5907,0,0,-0.2413,0,0,1
0,3,1,-0.6076,0,0,-0.7513,0,0,1
0,3,1,-0.1079,0,0,-0.7025,0,0,1
1,2,0,0.192,0,0,-0.3659,0,1,0
1,2,0,-0.6076,1,1,0.8921,0,0,1
1,2,0,0.7916,0,0,-0.3168,0,0,1
1,3,0,0.2919,1,1,0.2517,0,0,1
1,1,0,-1.2073,0,1,3.0816,1,0,0
1,3,0,-0.0079,2,0,0.4576,0,1,0
0,1,1,1.7411,0,0,0.8543,0,0,1
0,3,1,-1.2073,2,0,0.061,0,0,1
0,3,1,-0.0079,0,0,-0.7025,0,0,1
1,3,1,1.6911,0,0,-0.6908,0,0,1
0,1,1,1.6911,0,0,1.3832,0,0,1
0,2,1,-0.0079,0,0,-0.3168,0,0,1
0,2,1,-0.3078,0,0,-0.3168,0,0,1
0,2,1,0.7916,0,0,-0.3168,0,0,1
1,2,0,-0.4077,0,0,-0.3168,0,0,1
1,2,0,1.1914,0,0,-0.3168,0,0,1
1,3,0,-0.0079,1,0,-0.0826,0,0,1
1,3,1,-2.5066,1,1,-0.0977,0,0,1
0,3,1,1.3913,0,0,-0.6445,0,0,1
0,3,1,-0.5077,0,0,-0.602,0,0,1
0,1,1,-0.0079,0,0,1.3454,0,0,1
0,3,1,-1.3072,1,1,-0.7528,1,0,0
0,3,1,-0.3078,1,0,0.0458,0,0,1
0,3,1,-0.0079,0,0,-0.7532,1,0,0
0,3,1,-0.0079,0,0,-0.5813,0,0,1
1,1,0,-0.6076,0,1,2.8565,0,0,1
0,2,0,0.9915,0,0,-0.3168,0,0,1
1,3,0,-0.0079,0,0,-0.7037,0,1,0
1,3,0,-0.0079,0,0,-0.7037,0,1,0
0,3,1,1.1914,1,4,0.809,0,0,1
0,2,1,0.092,1,0,0.7954,1,0,0
0,3,0,1.6911,0,1,-0.2069,1,0,0
0,3,1,0.6917,0,0,-0.7664,0,0,1
0,3,1,-0.0079,1,0,-0.1279,0,1,0
0,3,1,0.192,0,0,-0.7513,0,0,1
1,3,0,-0.0079,0,0,-0.7528,1,0,0
1,3,0,-0.0079,0,0,-0.7135,0,1,0
1,1,1,-0.3078,1,0,2.8899,1,0,0
0,3,1,-1.0074,1,0,-0.8082,0,0,1
0,3,1,-0.9074,0,0,-0.6908,0,0,1
0,3,0,-2.5066,3,1,0.2933,0,0,1
1,3,0,-0.6076,0,0,-0.7513,0,0,1
0,3,1,-0.8075,0,0,-0.9959,1,0,0
0,3,1,-0.9074,0,0,-0.7116,0,0,1
0,3,1,0.3918,0,0,-0.7003,0,0,1
1,1,0,0.6917,1,0,2.6298,0,0,1
0,3,1,-0.0079,0,0,-0.7025,0,0,1
1,2,0,0.7916,0,0,-0.3168,0,0,1
0,3,1,-0.0079,0,0,-0.7151,0,1,0
1,2,0,-1.1073,0,0,-0.3924,1,0,0
1,3,1,-0.7076,0,0,-0.71,0,0,1
0,3,1,-0.0079,2,0,-0.7003,0,0,1
1,3,0,-0.4077,0,2,-0.0373,0,0,1
0,3,1,-0.6076,0,0,-0.71,0,0,1
0,3,0,0.2919,0,0,-0.7056,0,0,1
0,2,1,1.7911,0,0,0.6654,0,0,1
0,2,1,-0.5077,0,0,-0.5057,0,0,1
1,2,0,-0.0079,0,0,-0.3433,0,0,1
1,3,1,1.0915,0,0,-0.7003,0,0,1
0,3,1,-0.2078,0,0,-0.6908,0,0,1
0,3,0,-0.7076,1,0,-0.5567,0,0,1
0,3,1,-0.0079,1,0,-0.1015,0,0,1
0,3,0,-0.8075,0,0,-0.6445,0,0,1
0,2,1,0.5917,1,0,0.2876,0,0,1
0,3,1,2.2908,0,0,-0.7135,0,0,1
1,2,1,-2.5066,1,1,0.1176,0,0,1
0,3,1,-0.7076,0,0,-0.7116,0,0,1
0,3,0,-0.0079,3,1,0.6251,0,0,1
0,3,1,-0.0079,0,0,-0.7025,0,0,1
0,3,1,-0.0079,0,0,-0.7809,0,1,0
0,2,1,-0.0079,0,0,-1.299,0,0,1
1,3,1,1.5912,0,0,-0.7003,0,0,1
0,3,0,-0.0079,0,0,-0.6908,0,0,1
1,2,0,0.5917,1,1,1.1565,0,0,1
1,2,0,-1.0074,0,2,-0.3168,0,0,1
0,2,1,0.192,0,0,-0.3168,0,0,1
0,3,0,-1.807,0,2,0.5256,0,0,1
0,3,1,-0.0079,0,0,-0.7025,1,0,0
0,3,1,-0.7076,0,0,-0.7147,0,1,0
0,3,1,0.092,0,0,-0.704,0,0,1
0,3,0,-0.0079,1,1,-0.211,0,0,1
0,3,1,-1.0074,1,1,0.2281,0,0,1
0,3,1,-0.0079,0,0,-0.7513,0,0,1
1,2,0,-0.0079,1,0,0.6654,0,0,1
1,2,0,-0.9074,0,0,0.6654,0,0,1
0,3,1,-0.0079,0,0,-0.7135,0,1,0
1,3,1,0.3918,0,0,-0.6908,0,0,1
1,1,1,-0.0079,0,0,0.707,0,0,1
1,3,0,-0.0079,1,0,-0.0826,0,0,1
1,2,0,1.3913,1,0,0.6654,0,0,1
0,3,1,-1.1073,0,0,-0.7607,0,0,1
0,1,1,2.1909,1,0,2.9245,0,0,1
0,3,0,-0.7076,2,2,1.2982,0,0,1
1,2,0,-0.4077,2,3,0.1176,0,0,1
0,2,1,0.2919,0,0,-0.5057,0,0,1
1,2,0,1.6911,1,1,0.6843,0,0,1
0,3,1,-0.8075,0,0,-0.5813,0,0,1
0,3,1,-0.3078,1,0,-0.7116,0,0,1
1,2,0,-0.0079,0,0,-0.3168,0,0,1
1,3,1,-0.0079,0,0,-0.6861,0,0,1
1,2,0,-1.5071,0,1,0.1743,0,0,1
1,1,1,0.5917,0,0,0.707,0,0,1
1,3,0,-2.3067,2,1,0.156,1,0,0
1,1,1,2.3908,0,0,1.0054,0,0,1
0,2,1,0.7916,1,2,0.7976,0,0,1
0,3,1,-0.0079,1,0,0.2096,0,0,1
0,1,1,0.192,0,0,0.7976,1,0,0
0,3,1,-0.0079,0,0,-0.6908,0,0,1
1,3,1,0.092,0,0,-0.7025,1,0,0
1,1,0,-0.0079,1,0,2.6195,0,0,1
1,2,0,2.1909,0,0,-0.5057,0,0,1
0,3,1,-0.0079,0,0,-0.7135,0,1,0
1,1,1,1.991,0,0,0.707,0,0,1
0,3,1,0.5917,0,0,-0.6908,0,0,1
0,1,1,1.891,0,0,1.6098,0,0,1
0,2,1,1.991,0,0,-0.3168,0,0,1
0,3,1,-0.0079,0,0,-0.6908,0,0,1
0,3,1,0.9915,0,0,-0.7664,0,0,1
0,2,1,-0.0079,0,0,-1.299,0,0,1
0,3,1,-0.0079,0,0,-0.7154,0,1,0
0,3,1,-0.0079,0,0,-0.7513,0,0,1
0,3,1,0.9915,0,0,-0.6445,0,0,1
1,2,0,0.4918,1,2,0.7976,0,0,1
1,2,0,-0.5077,0,0,-0.257,1,0,0
0,3,0,-0.6076,0,0,-0.5558,0,0,1
0,1,1,-0.0079,0,0,2.6298,0,0,1
0,2,1,0.5917,1,0,0.2876,0,0,1
0,3,1,0.092,1,0,-0.7667,0,0,1
0,3,1,-0.6076,0,0,-0.7308,0,0,1
0,3,1,-1.9069,5,2,2.2445,0,0,1
0,2,1,-0.0079,0,0,-1.299,0,0,1
0,3,1,2.1909,0,0,-0.6908,0,0,1
0,3,0,-0.0079,3,1,0.6251,0,0,1
0,3,1,0.192,0,0,-0.6908,0,0,1
1,3,1,-1.9069,1,1,-0.0977,0,0,1
0,3,1,-0.0079,1,0,0.2096,0,0,1
0,3,1,-0.7076,0,0,-0.7513,0,0,1
0,3,1,-0.7076,0,0,-0.6908,0,0,1
0,3,1,-0.0079,0,0,-0.2066,1,0,0
0,3,1,-0.0079,0,0,-0.1582,0,0,1
0,3,1,-0.4077,0,0,-0.71,0,0,1
0,3,1,-1.1073,0,0,-0.6445,0,0,1
0,3,0,-0.7076,0,0,-0.7135,0,1,0
0,3,0,-0.0079,0,0,-0.7226,0,1,0
0,3,0,0.8916,0,0,-0.5747,0,0,1
1,2,0,0.4918,0,2,0.6654,0,0,1
1,1,1,-0.0079,0,0,0.707,0,0,1
0,3,1,-0.0079,0,0,0.4028,0,0,1
1,3,1,-0.2078,0,0,2.9695,0,0,1
1,3,1,0.092,0,0,-0.7135,0,1,0
0,3,1,-0.0079,0,0,-0.6908,0,0,1
1,1,1,0.7916,0,0,0.6871,0,0,1
1,1,0,2.5907,1,0,3.189,1,0,0
0,3,1,-0.4077,0,0,-0.7327,0,0,1
0,1,1,1.891,0,0,1.2714,0,0,1
1,2,0,0.5917,0,0,-0.5057,0,0,1
0,3,1,-0.0079,0,0,0.5256,0,1,0
1,2,0,0.7916,1,0,0.6654,0,0,1
0,3,1,0.3918,0,0,-0.7025,0,0,1
0,3,1,-0.6076,0,0,-0.7025,0,0,1
0,3,1,-0.0079,0,0,-0.7532,1,0,0
1,1,0,1.5912,0,1,3.0816,1,0,0
0,3,1,-0.0079,0,0,-0.7528,1,0,0
0,3,1,1.2414,0,0,-0.7135,0,1,0
1,2,0,2.1909,0,0,-0.5057,0,0,1
0,3,1,1.0915,0,0,-0.7003,0,0,1
0,2,1,-0.5077,2,1,-0.4302,0,0,1
0,3,1,-0.0079,0,0,-0.7528,1,0,0
0,3,1,-1.1073,1,1,-0.7528,1,0,0
1,3,0,-0.0079,0,2,0.3903,1,0,0
0,3,0,0.192,0,0,-0.6445,0,0,1
1,2,0,-2.1068,0,2,0.6843,0,0,1
0,1,1,1.6911,0,0,0.707,0,0,1
0,3,1,-0.0079,0,0,-0.2035,0,0,1
1,1,0,-0.6076,0,2,2.441,1,0,0
0,3,0,-1.9069,4,2,1.064,0,0,1
0,3,0,-1.707,4,2,1.064,0,0,1
1,2,1,0.3918,1,0,0.6654,0,0,1
1,2,0,-0.9074,1,0,0.6654,0,0,1
1,2,1,-0.0079,0,0,-0.2517,1,0,0
0,3,1,0.4918,1,1,0.2517,0,0,1
1,2,1,-2.0069,1,1,1.4776,0,0,1
0,2,1,-0.1079,0,0,0.6654,0,0,1
0,3,1,-0.0079,0,0,-0.7075,0,1,0
1,3,1,-0.6076,0,0,-0.7532,1,0,0
1,3,0,-0.6076,0,0,-0.7116,0,0,1
1,1,0,1.991,1,0,1.693,1,0,0
1,3,0,0.7916,1,0,0.0156,0,0,1
0,3,1,-0.0079,0,0,-0.7135,0,1,0
0,3,1,1.1914,0,0,-0.7025,0,0,1
0,2,1,-0.0079,0,0,-0.279,0,0,1
0,3,1,-0.0079,0,0,-0.6908,0,0,1
0,3,0,-0.0079,0,0,-0.6908,0,0,1
0,3,1,-0.4077,2,0,0.5256,0,0,1
0,3,1,-0.9074,0,0,-0.7025,0,0,1
0,3,0,0.092,0,4,0.2933,0,0,1
0,3,1,-0.0079,0,0,-0.7528,1,0,0
1,3,1,0.3918,0,0,-0.7056,0,0,1
1,1,0,2.4907,2,0,2.5905,0,0,1
1,1,1,0.7916,0,0,0.6947,0,0,1
1,3,0,-0.0079,0,0,-0.7135,0,1,0
0,3,1,-1.2073,0,0,-0.6908,0,0,1
0,3,1,-0.9074,0,0,-0.2035,0,0,1
1,2,0,0.5917,0,0,-0.3168,0,0,1
1,1,0,1.0915,1,0,2.9245,0,0,1
0,3,0,-0.0079,1,0,-0.2066,1,0,0
1,3,1,0.3918,0,0,-0.7003,0,0,1
1,2,0,-0.3078,1,1,0.9676,0,0,1
0,2,1,2.5907,0,0,0.6654,0,0,1
0,1,1,0.7916,0,0,1.7326,1,0,0
0,3,1,-0.0079,0,0,-0.6408,1,0,0
0,2,1,1.891,0,0,-0.1657,0,0,1
0,3,1,-0.6076,0,0,-0.6908,0,0,1
0,3,1,-0.0079,0,0,-0.6908,0,0,1
0,3,1,0.6917,0,0,-0.7607,0,0,1
0,3,1,1.891,0,0,-0.7513,0,0,1
0,3,0,-0.0079,0,2,-0.7135,0,1,0
0,2,1,0.8916,1,0,0.6654,0,0,1
0,3,1,0.7916,1,1,0.5256,0,0,1
1,2,0,-0.0079,0,0,1.1943,0,0,1
0,3,1,2.0909,0,0,-1.299,0,0,1
0,3,1,-0.0079,0,0,-0.7532,1,0,0
1,1,1,2.0909,1,0,3.0023,1,0,0
1,2,0,-0.4077,2,1,0.741,0,0,1
0,3,1,-0.0079,0,0,-0.7025,0,0,1
0,1,1,-0.0079,0,0,1.9045,0,0,1
0,3,1,1.5912,0,0,-0.6908,0,0,1
1,1,1,0.6917,0,0,0.707,1,0,0
0,3,1,0.7916,1,0,-0.1242,0,0,1
0,3,1,0.192,0,0,-0.7025,0,0,1
1,1,1,-0.1079,0,0,1.0054,0,0,1
1,2,0,-0.6076,1,2,1.8425,1,0,0
0,3,0,1.0915,1,5,1.064,0,0,1
0,3,1,-0.0079,0,0,-0.7664,0,0,1
1,3,0,-0.0079,1,0,-0.1279,0,1,0
0,3,1,-0.0079,0,0,-0.7135,0,1,0
0,3,1,0.6917,0,0,-0.6908,0,0,1
0,3,1,0.5917,1,1,-0.211,0,0,1
0,3,0,-0.2078,1,0,-0.0826,0,0,1
1,2,0,-2.4066,2,1,1.6476,0,0,1
0,2,1,-0.2078,0,0,-0.5057,0,0,1
0,3,1,-0.1079,1,0,-0.2069,1,0,0
1,1,1,1.3913,1,0,2.6717,0,0,1
1,3,1,-0.8075,1,1,-0.1097,1,0,0
0,3,1,-0.7076,0,0,-0.7056,0,0,1
0,3,1,-0.7076,0,0,-0.0826,0,0,1
0,3,1,-0.2078,0,0,-0.7025,0,0,1
0,3,1,-0.0079,0,0,-0.7147,0,1,0
0,3,1,2.2908,0,0,-0.7661,0,0,1
1,1,1,0.3918,0,0,1.0054,1,0,0
0,1,1,-0.0079,0,0,-1.299,0,0,1
0,3,0,-1.9069,3,2,0.809,0,0,1
1,2,0,-0.0079,0,0,-0.3168,0,0,1
0,3,1,0.3918,0,0,-0.7003,0,0,1
